first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,registration_number,license_valid_from,license_valid_to,specializations,address
,,MABUHAY PERSONNEL & MANAGEMENT SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mabuhay.workabroad.ph/profile/agency/151/mabuhay,POEA-142-LB-071818-R,"Jul 14, 2022","Aug 09, 2026",,
,,"MAGSAYSAY GLOBAL SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://magsaysayglobal.workabroad.ph/profile/agency/1208/magsaysayglobal,POEA-069-LB-072622-R,"Mar 18, 2022","Mar 17, 2026",,
,,"MANILA INTERNATIONAL RECRUITMENT SERVICES, INC.",,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/3986/manila-international-recruitment-services-inc,POEA-214-LB-112919-R,"Oct 30, 2024","Nov 07, 2029",,
,,MANILA ON-TIME EXPRESS MANPOWER INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://manilaontime.workabroad.ph/profile/agency/7045/manilaontime,POEA-010-LB-011821-R,"Feb 08, 2021","Feb 07, 2031",,
,,MANPOWER RESOURCES OF ASIA INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://manpowerasia.workabroad.ph/profile/agency/2120/manpowerasia,POEA-040-LB-062722-PA,"Jul 12, 2022","Jul 11, 2034",,
,,MARAFE INT'L. MANPOWER SERVICES INC. (FORMERLY: S & D MANPOWER SERVICES INC.),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sndmanpower.workabroad.ph/profile/agency/1323/sndmanpower,POEA-062-LB-040219-R,"Feb 21, 2023","Feb 07, 2027",,
,,MARIPOSA INTERNATIONAL SERVICES CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mariposa.workabroad.ph/profile/agency/2126/mariposa,POEA-128-LB-092922-R,"Oct 09, 2022","Oct 08, 2026",,
,,MAX SUPPORT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7458/max-support-inc,DMW-458-LB-10152024-R,"Feb 06, 2023","Feb 05, 2027",,
,,MBC HUMAN RESOURCES DEVELOPMENT CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mbcresources.workabroad.ph/profile/agency/846/mbcresources,POEA-039-LB-060210-R,"Jul 15, 2022","Jun 03, 2026",,
,,MEC INTERNATIONAL MANPOWER RESOURCES INCORPORATED,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mecintl.workabroad.ph/profile/agency/6710/mecintl,DMW-229-LB-12182023-R,"Jan 07, 2024","Jan 06, 2030",,
,,"MEDICAL STAFFING RESOURCES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://medicalstaffing.workabroad.ph/profile/agency/773/medicalstaffing,DMW-657-LB-10132025-R,"Nov 04, 2025","Nov 03, 2031",,
,,MEGA MANPOWER CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://megamanpower.workabroad.ph/profile/agency/3678/megamanpower,POEA-061-LB-030316-R,,,,
,,MERCAN CANADA EMPLOYMENT PHILIPPINES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mercancanada.workabroad.ph/profile/agency/6411/mercancanada,POEA-052-LB-070422-R,"Jul 21, 2022","Jul 20, 2026",,
,,"MICHAELANGELO MANPOWER EXPONENT, INC. (MMEI)",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/740/michaelangelo-manpower-exponent-inc-mmei,POEA-136-LB-080519-R,"Aug 08, 2023","Aug 07, 2029",,
,,MIDAS SMART RESOURCES CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8203/midas-smart-resources-corporation,DMW-017-LB-02232024-PL,"Feb 23, 2024","Feb 22, 2027",,
,,MING HWEE MANPOWER RECRUITMENT INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5590/ming-hwee-manpower-recruitment-inc,POEA-118-LB-091922-R,"Aug 25, 2022","Aug 24, 2026",,
,,MIP INTERNATIONAL MANPOWER SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mipintl.workabroad.ph/profile/agency/2080/mipintl,POEA-154-LB-080118-R,"Aug 09, 2022","Sep 01, 2026",,
,,MISSION WAY MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://missionway.workabroad.ph/profile/agency/873/missionway,DMW-274-LB-02222024-R,"Mar 20, 2024","Mar 19, 2030",,
,,MIT RECRUITMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mitrecruitment.workabroad.ph/profile/agency/7933/mitrecruitment,DMW-027-LB-03182027-UL,"Apr 23, 2024","Jul 05, 2026",,
,,MMS PLACEMENT INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mmsplacement.workabroad.ph/profile/agency/1015/mmsplacement,POEA-183-LB-111620-R,"Nov 11, 2024","Jul 11, 2030",,
,,MODERN WORLD EXPLORATION RECRUITMENT CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8140/modern-world-exploration-recruitment-corp,DMW-010-LB-01032024-LP,"Jan 03, 2024","Jan 02, 2027",,
,,MORI INTERNATIONAL AGENCY CORPORATION,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://mori.workabroad.ph/profile/agency/46/mori,DMW-118-LB-06222023-R,"Apr 11, 2023","Apr 10, 2027",,
,,MOUNTAIN PEAK INTERNATIONAL HUMAN RESOURCES CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mountainpeak.workabroad.ph/profile/agency/7201/mountainpeak,DMW-630-LB-08122025-R,"Sep 07, 2025","Sep 06, 2031",,
,,MPL INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mplintl.workabroad.ph/profile/agency/1890/mplintl,POEA-039-LB-030111-R,"Jun 26, 2024","Mar 27, 2027",,
,,"MRH GLOBAL PERSONNEL SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mrhglobal.workabroad.ph/profile/agency/230/mrhglobal,POEA-137-LB-092914-R,"Oct 06, 2022","Oct 12, 2026",,
,,MT. ZION INTERNATIONAL PLACEMENT AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7247/mt-zion-international-placement-agency-inc,POEA-204-LB-121622-R,"Dec 02, 2021","Dec 01, 2025",,
,,MULTI-ORIENT MANPOWER & MANAGEMENT SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://multiorient.workabroad.ph/profile/agency/4537/multiorient,DMW-338-LB-04232024-R,"May 15, 2024","Feb 26, 2030",,
,,"MYRIAD HUMAN RESOURCE AND SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://myriad.workabroad.ph/profile/agency/968/myriad,POEA-039-LB-062422-R,"May 17, 2022","May 16, 2026",,
,,NANSEI TEIKOKU GLOBAL PLACEMENT SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://nansei2.workabroad.ph/profile/agency/6929/nansei2,POEA-023-LB-021220-R,"Mar 25, 2024","Feb 04, 2030",,
,,NAWRAS MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/781/nawras-manpower-services-inc,DMW-375-LB-06182024-R,"Apr 23, 2024","Apr 22, 2030",,
,,NFR NEW FRONTIER RESOURCES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://nfr.workabroad.ph/profile/agency/6805/nfr,POEA-128-LB-072320-R,"Jul 03, 2024","Jul 04, 2030",,
,,NIHON KOKUSAI RECRUITMENT AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://nkraco.workabroad.ph/profile/agency/7239/nkraco,DMW-633-LB-08142025-R,"Sep 14, 2025","Sep 13, 2031",,
,,NON-STOP OVERSEAS EMPLOYMENT CORP.,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://nonstop.workabroad.ph/profile/agency/1693/nonstop,POEA-039-LB-022719-R,"Feb 27, 2023","Mar 01, 2027",,
,,NOUPA AL ZAABI MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/2235/noupa-al-zaabi-manpower-services,POEA-050-LB-030819-R,"Feb 22, 2023","Mar 16, 2027",,
,,NSNT MEDICAL PLACEMENT & ALLIED SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1737/nsnt-medical-placement-allied-services-inc,015-LB-051106-UL,"Jul 25, 2025","Oct 25, 2025",,
,,NYD INTERNATIONAL PLACEMENT AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://nydinternational.workabroad.ph/profile/agency/5973/nydinternational,POEA-143-LB-081319-R,"Dec 13, 2023","Aug 23, 2029",,
,,OLM INTERNATIONAL JOB PLACEMENT CORP - PASAY BRANCH,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8352/olm-international-job-placement-corp-pasay-branch,087-LB-072310-R,"Oct 22, 2022","Aug 25, 2026",,
,,OMANFIL INTERNATIONAL MANPOWER DEVELOPMENT CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://omanfil.workabroad.ph/profile/agency/3613/omanfil,POEA-093-LB-072910-PA,"Sep 25, 2014","Sep 25, 2026",,
,,ONE LEAD CONNECT INTERNATIONAL RECRUITMENT AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://onelead.workabroad.ph/profile/agency/6831/onelead,DMW-460-LB-10302024-R,"Nov 18, 2024","Sep 27, 2030",,
,,"ONTIME STAFFING SOLUTIONS, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ontimestaffing.workabroad.ph/profile/agency/6969/ontimestaffing,DMW-494-LB-02072025-R,"Dec 02, 2024","Dec 01, 2030",,
,,ORANGE INTERNATIONAL RECRUITMENT SERVICES (FORMERLY INFRACELL PHILIPPINE),,,,,,Makati,,PH,Recruitment Agency,ph-workabroad,https://orange.workabroad.ph/profile/agency/308/orange,POEA-171-LB-112122-R,"Nov 21, 2022","Nov 20, 2026",,"the heart of Makati City, the Philippine’s premier financial and commercial district"
,,ORIENT HOLDINGS PHILIPPINES GROUP OF COMPANIES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://orientholdings.workabroad.ph/profile/agency/169/orientholdings,DMW-385-LB-07012024-R,"Jul 12, 2024","May 30, 2030",,
,,ORIENTAL SERVICE MANPOWER INC.,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8143/oriental-service-manpower-inc,DMW-016-LB-03042024-PL,"Mar 04, 2024","Mar 03, 2027",,
,,ORTIZ AGENCY & EMPLOYMENT SERVICES INC.-,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ortiz2.workabroad.ph/profile/agency/5176/ortiz2,208-LB-120114-R,,,,
,,"PACIFIC BUSINESS VENTURES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://pacificbusiness.workabroad.ph/profile/agency/1229/pacificbusiness,DMW-394-LB-07112024-R,"Aug 31, 2024","May 20, 2030",,
,,PANACEA INTL EMPLOYMENT RESOURCES AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://panacea.workabroad.ph/profile/agency/6719/panacea,POEA-132-LB-072320-R,"Jan 23, 2020","Jan 22, 2030",,
,,PARMAN INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://parman.workabroad.ph/profile/agency/3887/parman,POEA-136-LB-090210-R,"Sep 20, 2022","Aug 27, 2026",,
,,PEAK HUMAN RESOURCE MANAGEMENT AND CONSULTING SERVICES INCORPORATED,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://peakmanpower.workabroad.ph/profile/agency/967/peakmanpower,POEA-093-LB-061615-R,"Jul 15, 2023","Jul 14, 2029",,
,,"PERPETUAL HELP PLACEMENT SERVICES INTL., INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://perpetualplacement.workabroad.ph/profile/agency/2587/perpetualplacement,POEA-125-LB-041916-R,"Jul 01, 2020","Mar 24, 2030",,
,,PHIL-TEX STAFFING SERVICES INTERNATIONAL INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://PHILTEX.workabroad.ph/profile/agency/4948/philtex,POEA-055-LB-080521-R,,,,
,,PHILAFRICA TECHNICAL RESOURCES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://philafrica.workabroad.ph/profile/agency/5449/philafrica,POEA-038-LB-022619-R,"May 11, 2023","May 02, 2027",,
,,PHILCANGO INTERNATIONAL RECRUITMENT SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://philcango.workabroad.ph/profile/agency/6285/philcango,POEA-140-LB-101022-R,"Oct 18, 2022","Jun 09, 2026",,
,,PHILIPPINE HUMAN RESOURCE WORLDWIDE EMPLOYMENT CO.,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://philhuman.workabroad.ph/profile/agency/6402/philhuman,POEA 140-LB-071618-R,"Jul 07, 2022","Jul 28, 2026",,"1812 Taft Avenue Malate, Manila, Philippines"
,,"PHILIPPINE-RN RECRUITMENT AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/95/philippine-rn-recruitment-agency-inc,DMW-084-LB-05052023-R,"Jun 05, 2023","Sep 05, 2026",,
,,PHILNOS CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://philnos.workabroad.ph/profile/agency/125/philnos,POEA-084-LB-081622-R,"Sep 15, 2022","Sep 14, 2026",,
,,PHILORE MANPOWER CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://philore.workabroad.ph/profile/agency/7534/philore,DMW-160-LB-08222023-R,"Jul 29, 2023","Jul 28, 2029",,
,,PHILSTAR INTERNATIONAL SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://philstar.workabroad.ph/profile/agency/6099/philstar,POEA-208-LB-071312-R,"Jul 12, 2024","Aug 22, 2030",,
,,PHILWORLD RECRUITMENT AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6998/philworld-recruitment-agency-inc,POEA-078-LB-112521-R,"Dec 23, 2020","Dec 22, 2030",,
,,PINE MANPOWER SOLUTIONS CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8187/pine-manpower-solutions-corp,DMW-026-LB-11072024-PL,"Nov 07, 2024","Nov 06, 2027",,
,,PINOY ARABIAN MANPOWER INTERNATIONAL SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7920/pinoy-arabian-manpower-international-services,POEA-005-LB-070822-PL,"Jun 13, 2025","Oct 06, 2025",,
,,PINOY OVERSEAS WORKERS EMPLOYMENT RESOURCES (POWER) CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6512/pinoy-overseas-workers-employment-resources-power-corp,POEA-071-LB-102521-R,"Jul 01, 2025","Mar 29, 2031",,
,,PIONEER ASIA MANPOWER INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://pioneerasia.workabroad.ph/profile/agency/2488/pioneerasia,DMW-306-LB-03252024-R,"Apr 18, 2024","Apr 11, 2030",,
,,PLATINUM BROTHERS INTL MANPOWER AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://platinumbrothers.workabroad.ph/profile/agency/4034/platinumbrothers,035-LB-071913-R,"Sep 19, 2022","Jun 19, 2025",,
,,PNI INTERNATIONAL CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://pniintl.workabroad.ph/profile/agency/443/pniintl,POEA-012-LB-012120-R,"Jan 17, 2025","Dec 06, 2029",,
,,"POINTMAN INTERNATIONAL SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://pointman.workabroad.ph/profile/agency/6595/pointman,DMW-194-LB-10132023-R,"Nov 24, 2023","May 13, 2027",,
,,"POWER HORIZON INTERNATIONAL RESOURCES, INC.",,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://powerhorizon.workabroad.ph/profile/agency/1740/powerhorizon,POEA-259-LB-120418-R,"Dec 12, 2022","Dec 09, 2026",,
,,PRAXIS INTERNATIONAL STAFFING AND MANAGEMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://praxis.workabroad.ph/profile/agency/6830/praxis,POEA-170-LB-101520-R,"Jun 13, 2023","Oct 10, 2024",,
,,PREMIER GLOBAL RECRUITMENT OPC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8082/premier-global-recruitment-opc,DMW-005-LB-10112023-PL,"Oct 11, 2023","Oct 10, 2026",,
,,PREMIUM QUALITY WORK SOLUTIONS CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://premiumquality.workabroad.ph/profile/agency/7092/premiumquality,POEA-013-LB-031417-PL,"Feb 14, 2025","Mar 27, 2031",,
,,"PRIME INTERNATIONAL MANPOWER SOLUTIONS, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://primeintl.workabroad.ph/profile/agency/6978/primeintl,DMW-485-LB-12262024-R,"Jan 22, 2025","Dec 26, 2030",,
,,PRIME MANPOWER RESOURCES DEVELOPMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://primemanpower.workabroad.ph/profile/agency/1723/primemanpower,POEA-141-LB-101122-R,"Oct 20, 2022","Sep 18, 2026",,
,,"PRIME OPPORTUNITIES, INC",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://primeopportunities.workabroad.ph/profile/agency/3811/primeopportunities,DMW-421-LB-08142024-R,"May 13, 2024","May 12, 2030",,
,,PRIME SEARCH MANPOWER AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8194/prime-search-manpower-agency-inc,DMW-027-LB-11182024-PL,"Nov 18, 2024","Nov 17, 2027",,
,,PRIMEWORLD MANPOWER AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://primeworld.workabroad.ph/profile/agency/1963/primeworld,POEA-168-LB-093015-R,"May 21, 2024","Sep 29, 2029",,
,,PRINCESS JOY PLACEMENT & GENERAL SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://princessjoy.workabroad.ph/profile/agency/3391/princessjoy,DMW-039-LB-03072023-R,"Feb 11, 2023","Feb 10, 2027",,
,,"PRINCIPALIA MANAGEMENT AND PERSONNEL CONSULTANTS, INC",,,,,,Makati,,PH,Recruitment Agency,ph-workabroad,https://principalia.workabroad.ph/profile/agency/92/principalia,POEA-104-LB-062920-R,"Apr 04, 2024","Apr 01, 2030",,
,,PROACTIVE OVERSEAS MANPOWER CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8158/proactive-overseas-manpower-corporation,DMW-015-LB-02232024-PL,"Feb 23, 2024","Feb 22, 2027",,
,,PROFILE OVERSEAS MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://profileoverseas.workabroad.ph/profile/agency/266/profileoverseas,POEA-032-LB-021016-R,"May 24, 2022","Mar 07, 2030",,
,,"PROMEX, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/64/promex-inc,POEA-098-LB-062220-R,"Apr 03, 2024","Apr 02, 2030",,
,,PRUDENTIAL EMPLOYMENT AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://prudential.workabroad.ph/profile/agency/4773/prudential,POEA-061-LB-070722-R,"Aug 15, 2022","Aug 14, 2026",,
,,PSC PRIMARY SKILLS INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://psc.workabroad.ph/profile/agency/5492/psc,POEA-186-LB-101915-R,"Nov 17, 2023","Oct 20, 2029",,
,,PYRAMIDS INTERNATIONAL HUMAN RESOURCES SERVICES CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://pyramids.workabroad.ph/profile/agency/6473/pyramids,POEA-148-LB-101422-R,"Nov 07, 2022","Nov 06, 2026",,
,,Q AND M HR MANAGEMENT CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://qmhr.workabroad.ph/profile/agency/7354/qmhr,POEA-061-LB-092721-R,"Oct 06, 2021","Nov 09, 2025",,
,,"QRD INTERNATIONAL PLACEMENT, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://qrd.workabroad.ph/profile/agency/6693/qrd,DMW-203-LB-11142023-R,"Nov 11, 2024","Nov 06, 2029",,
,,QUANTUM-LEAP INTERNATIONAL MANPOWER RECRUITMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7433/quantum-leap-international-manpower-recruitment-agency,POEA-139-LB-101022-R,"Oct 05, 2022","Oct 04, 2026",,
,,QUESTCORE INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://questcore.workabroad.ph/profile/agency/3683/questcore,POEA-019-LB-021521-R,"Mar 04, 2025","Mar 13, 2031",,
,,R A L CAREER LINK INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ralcareer.workabroad.ph/profile/agency/2654/ralcareer,DMW-434-LB-09092024-R,"Jul 12, 2024","Jul 11, 2030",,
,,RAMASIA INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ramasiaintl.workabroad.ph/profile/agency/6966/ramasiaintl,POEA LICENCSE-078-LB-052820-R,"Apr 01, 2024","Apr 11, 2030",,
,,RECRUITMENT CENTER PHILIPPINES (RCP) FORMERLY VETERANS OVERSEAS,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://rcphils.workabroad.ph/profile/agency/3501/rcphils,POEA-081-LB-081622-R,"Sep 08, 2022","Jul 26, 2026",,
,,RENSOL RECRUITMENT AND CONSULTING INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://rensol.workabroad.ph/profile/agency/6585/rensol,DMW-073-LB-04122023-R,"Apr 19, 2023","Apr 28, 2027",,
,,RISE MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://risemanpower.workabroad.ph/profile/agency/155/risemanpower,POEA-042-LB-022312-R,"May 27, 2020","Mar 18, 2030",,
,,"RISING STAR HUMAN RESOURCES, INC",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8110/rising-star-human-resources-inc,DMW-014-LB-01232024-PL,"Jan 23, 2024","Jan 22, 2027",,
,,RJC GLOBAL MANPOWER PROVIDER INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://rjcglobal.workabroad.ph/profile/agency/7041/rjcglobal,POEA-156-LB-091420-R,"Jan 17, 2025","Nov 20, 2030",,
,,ROMAR OVERSEAS PLACEMENT & TRADING CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://romar.workabroad.ph/profile/agency/3792/romar,POEA-142-LB-082020-R,"Jun 21, 2024","Apr 11, 2030",,
,,RPR INTERNATIONAL RECRUITMENT AGENCY INC.,,,,,,Pasay,,PH,Recruitment Agency,ph-workabroad,https://rprinternational.workabroad.ph/profile/agency/5516/rprinternational,POEA-130-LB-042116-R,"Aug 01, 2024","May 02, 2030",,
,,"RRJM INTERNATIONAL MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://rrjm.workabroad.ph/profile/agency/101/rrjm,POEA-258-LB-121611-R,"Feb 01, 2024","Jan 25, 2030",,
,,RURU GLOBAL RECRUITMENT SERVICES INC,,info@ruruglobal.com.ph,,,,,,PH,Recruitment Agency,ph-workabroad,https://ruruglobal.workabroad.ph/profile/agency/3834/ruruglobal,POEA-053-LB-112317-R,"Nov 19, 2025","Mar 04, 2026",,
,,"SAF INTERNATIONAL SERVICES, INC.",,,5366004,http://www.safintl.com,safintl.com,Manila,,PH,Recruitment Agency,ph-workabroad,https://safintl.workabroad.ph/profile/agency/730/safintl,DMW-047-LB-03082023-R,"Mar 16, 2023","Jan 24, 2027",,
,,SAMA INTERNATIONAL RECRUITMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sama.workabroad.ph/profile/agency/6745/sama,DMW-304-LB-05202024-R,,,,
,,SAMANTHA MANPOWER RECRUITMENT AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7245/samantha-manpower-recruitment-agency-inc,POEA-084-LB-122221-R,"Nov 14, 2021","May 13, 2026",,
,,SANGUINE GLOBAL STAFF RESOURCES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sanguine.workabroad.ph/profile/agency/6977/sanguine,DMW-479-LB-12162024-R,"Jan 20, 2025","Jan 19, 2031",,
,,SANKO EMPLOYMENT SOLUTIONS INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sankoemployment.workabroad.ph/profile/agency/6936/sankoemployment,POEA-136-LB-080320-R,"Nov 17, 2025","Feb 25, 2026",,
,,"SARA INTERNATIONAL MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sara.workabroad.ph/profile/agency/3236/sara,POEA-155-LB-090915-R,"Dec 07, 2023","Oct 10, 2029",,
,,SCS PLACEMENT SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://scsplacement.workabroad.ph/profile/agency/2924/scsplacement,DMW-427-LB-08202024-R,"Mar 07, 2024","Mar 06, 2030",,
,,"SEPTEMBER STAR, INC",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://septemberstar.workabroad.ph/profile/agency/418/septemberstar,POEA-096-LB-032612-R,"Nov 14, 2022","Nov 13, 2025",,
,,SG RECRUITMENT INC.,,,,,,Mandaluyong,,PH,Recruitment Agency,ph-workabroad,https://ghr.workabroad.ph/profile/agency/6806/ghr,DMW-450-LB-09242024-R,"Jul 20, 2024","Jul 19, 2030",,
,,"SHARP BH GLOBAL MANPOWER, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sharpbh.workabroad.ph/profile/agency/7079/sharpbh,DMW-618-LB-06052025- R,"Jun 14, 2025","Jun 13, 2031",,
,,SHASO INTERNATIONAL MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://shaso.workabroad.ph/profile/agency/4905/shaso,POEA-022-LB-102111-UL,"Mar 29, 2023","Jan 07, 2027",,
,,SILVER SKILLED RECRUITMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://silverskilled.workabroad.ph/profile/agency/6406/silverskilled,POEA-026-LB-071014-PL,"Jul 06, 2022","Jul 25, 2026",,
,,SKILLED MANAGEMENT CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://skilledmgmt.workabroad.ph/profile/agency/3721/skilledmgmt,233-LB-0702208-R,"Apr 29, 2024","Apr 20, 2030",,
,,"SKILLS INTERNATIONAL CO., INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://skillsintl.workabroad.ph/profile/agency/1196/skillsintl,POEA-232-LB-122815-R,"Mar 21, 2024","Feb 18, 2030",,
,,SKILLSTRADER INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://skillstrader.workabroad.ph/profile/agency/7732/skillstrader,POEA-004-LB-041921-PL,"Mar 27, 2025","Mar 24, 2031",,
